,URL,Image,Name,Number of Courses,University,Category,Sub_Category,Course_Language
0,https://www.coursera.org/specializations/wharton-business-financial-modeling,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/d9/396b60b32c11e595760b3f021227e6/B_FModelingSpecializationThumbnail.jpg?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/d9/396b60b32c11e595760b3f021227e6/B_FModelingSpecializationThumbnail.jpg?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Business and Financial Modeling,5-course Specialization,University of Pennsylvania,business,finance,en
1,https://www.coursera.org/specializations/investment-management,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/67/bd98c0b5a811e59eaffdd1e3640396/geneva_thumb.png?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/67/bd98c0b5a811e59eaffdd1e3640396/geneva_thumb.png?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Investment Management,5-course Specialization,University of Geneva,business,finance,en
2,https://www.coursera.org/specializations/investment-portolio-management,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/bd/77e7205b4d11e6bab7370f8742cafd/Stocks3Thumb.jpg?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/bd/77e7205b4d11e6bab7370f8742cafd/Stocks3Thumb.jpg?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Investment and Portfolio Management,5-course Specialization,Rice University,business,finance,en
3,https://www.coursera.org/specializations/financial-management,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ba/f19290479211e6a0b20793368ba6a1/Financial-Management-01.png?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ba/f19290479211e6a0b20793368ba6a1/Financial-Management-01.png?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Financial Management,7-course Specialization,University of Illinois at Urbana-Champaign,business,finance,en
4,https://www.coursera.org/specializations/healthcare-marketplace,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/34/f23210b97811e58c5ed9946fe66b3c/mili1.jpg?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/34/f23210b97811e58c5ed9946fe66b3c/mili1.jpg?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Healthcare Marketplace,5-course Specialization,University of Minnesota,business,finance,en
5,https://www.coursera.org/specializations/value-chain-management,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/d1/bb9e30479211e69f09f100fb125417/Value-Chain-Management-01.png?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/d1/bb9e30479211e69f09f100fb125417/Value-Chain-Management-01.png?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Value Chain Management,7-course Specialization,University of Illinois at Urbana-Champaign,business,finance,en
6,https://www.coursera.org/specializations/mba,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/17/450170c61511e6803c93aff22916b4/SpecIcon.png?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/17/450170c61511e6803c93aff22916b4/SpecIcon.png?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",International Business Essentials,6-course Specialization,University of London,business,finance,en
7,https://www.coursera.org/specializations/trading-strategy,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/d3/c012006ea811e6b0f6fd3f6adaf8ff/bitcoin-trading-strategy.jpg?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/d3/c012006ea811e6b0f6fd3f6adaf8ff/bitcoin-trading-strategy.jpg?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Trading Strategies in Emerging Markets,5-course Specialization,Indian School of Business,business,finance,en
8,https://www.coursera.org/specializations/investment-strategy,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/bb/ce53f0bd9b11e58c09abd8619163a8/hands-1004132_1920.jpg?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/bb/ce53f0bd9b11e58c09abd8619163a8/hands-1004132_1920.jpg?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Financial Markets and Investment Strategy,5-course Specialization,Indian School of Business,business,finance,en
9,https://www.coursera.org/specializations/learn-finance,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d396qusza40orc.cloudfront.net/phoenixassets/learn-finance/BNY_Specialization_Banner_logo.jpg?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d396qusza40orc.cloudfront.net/phoenixassets/learn-finance/BNY_Specialization_Banner_logo.jpg?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Essentials of Corporate Finance,5-course Specialization,The University of Melbourne,business,finance,en
10,https://www.coursera.org/specializations/managerial-economics-business-analysis,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/33/6c2b209e9911e58037d32895695437/Business-environments_Arrow.png?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/33/6c2b209e9911e58037d32895695437/Business-environments_Arrow.png?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Managerial Economics and Business Analysis ,7-course Specialization,University of Illinois at Urbana-Champaign,business,finance,en
